population,deltafitness
aInnXY-LHm,0.020591794
aInnXY-LHm,-0.16779905
aInnXY-LHm,-0.101772892
aInnXY-LHm,-0.175634842
aInnXY-LHm,-0.226617183
aInnXY-LHm,0.092907943
aInnXY-LHm,-0.068961647
aInnXY-LHm,-0.012623803
aInnXY-LHm,-0.110294683
aInnXY-LHm,-0.216294092
aInnXY-LHm,-0.099071934
aInnXY-LHm,-0.03983585
aInnXY-LHm,-0.072358508
aInnXY-LHm,-0.056144542
aInnXY-LHm,-0.00190901
aInnXY-LHm,-0.020119051
aInnXY-LHm,-0.260172139
aInnXY-LHm,-0.155848078
aInnXY-LHm,-0.102344203
aInnXY-LHm,-0.038716338
aInnXY-LHm,-0.355296602
aInnXY-LHm,-0.057941478
aInnXY-LHm,-0.029319005
aInnXY-LHm,-0.150731795
aInnXY-LHm,-0.179508996
aInnXY-LHm,0.001410825
aInnXY-LHm,-0.038964435
aInnXY-LHm,0.148368021
aInnXY-LHm,-0.002824027
aInnXY-LHm,-0.034085953
aInnXY-LHm,-0.093663672
aInnXY-LHm,-0.106509212
aInnXY-LHm,-0.028475353
aInnXY-LHm,-0.218191606
aInnXY-LHm,-0.105743308
aInnXY-LHm,-0.060867399
aInnXY-LHm,-0.060215306
aInnXY-LHm,0.022742522
aInnXY-LHm,-0.231664423
aInnXY-LHm,-0.136337213
aInnXY-LHm,0.050787773
aInnXY-LHm,-0.046848428
aInnXY-LHm,-0.110049164
aInnXY-LHm,-0.085103174
aInnXY-LHm,-0.165981114
aInnXY-LHm,-0.148759965
aInnXY-LHm,0.086771392
aInnXY-LHm,0.00183953
aInnXY-LHm,0.034758843
aInnXY-LHm,-0.069833298
aInnXY-LHm,-0.102663433
aInnXY-LHm,-0.081701568
aInnXY-LHm,-0.035685078
aInnXY-LHm,-0.181167677
aInnXY-LHm,-0.103303392
aInnXY-LHm,-0.10853627
aInnXY-LHm,0.108228927
aInnXY-LHm,-0.066665257
aInnXY-LHm,-0.029907233
aInnXY-LHm,-0.151566137
aInnXY-LHm,-0.036739149
aInnXY-LHm,-0.095036329
aInnXY-LHm,0.0265484
aInnXY-LHm,-0.10097698
aInnXY-LHm,-0.156791577
aInnXY-LHm,0.018726077
aInnXY-LHm,-0.104400685
aInnXY-LHm,-0.071908398
aInnXY-LHm,0.001554477
aInnXY-LHm,0.119321955
aInnXY-LHm,0.060030103
aInnXY-LHm,-0.164480835
aInnXY-LHm,-0.202190757
aInnXY-LHm,-0.004426739
aInnXY-LHm,-0.044465272
aInnXY-LHm,0.001282424
aInnXY-LHm,0.006056345
aInnXY-LHm,-0.202050912
aInnXY-LHm,-0.176485571
aInnXY-LHm,-0.29272806
aInnXY-LHm,0.079665076
aInnXY-LHm,0.00248514
aInnXY-LHm,-0.062383
aInnXY-LHm,0.098830567
aInnXY-LHm,0.05305318
aInnXY-LHm,-0.191312838
aInnXY-LHm,-0.024537965
