population,deltaprop_red
aLHmX-Inn,0.072117439
aLHmX-Inn,0.053060911
aLHmX-Inn,0.085352571
aLHmX-Inn,0.056158044
aLHmX-Inn,0.10493254
aLHmX-Inn,0.025630987
aLHmX-Inn,0.104771742
aLHmX-Inn,0.113442606
aLHmX-Inn,0.064233047
aLHmX-Inn,0.073823142
aLHmX-Inn,0.137365125
aLHmX-Inn,0.068531161
aLHmX-Inn,0.103069293
aLHmX-Inn,0.116345769
aLHmX-Inn,0.198616234
aLHmX-Inn,0.010870008
aLHmX-Inn,0.101877683
aLHmX-Inn,0.151887388
aLHmX-Inn,0.106873125
aLHmX-Inn,0.029019554
aLHmX-Inn,0.173807347
aLHmX-Inn,0.055340192
aLHmX-Inn,-0.00518716
aLHmX-Inn,0.158241635
aLHmX-Inn,0.060099122
aLHmX-Inn,0.146280952
aLHmX-Inn,0.121586277
aLHmX-Inn,0.099509363
aLHmX-Inn,0.015119469
aLHmX-Inn,0.069185975
aLHmX-Inn,0.076878741
aLHmX-Inn,0.104170402
aLHmX-Inn,0.151276043
aLHmX-Inn,0.05479428
aLHmX-Inn,0.152941659
aLHmX-Inn,0.101370579
aLHmX-Inn,0.130209141
aLHmX-Inn,0.034378249
aLHmX-Inn,0.065761514
aLHmX-Inn,0.13695082
aLHmX-Inn,0.082260169
aLHmX-Inn,0.114980915
aLHmX-Inn,0.056613886
aLHmX-Inn,0.12531886
aLHmX-Inn,0.098701414
aLHmX-Inn,0.156013546
aLHmX-Inn,0.077487744
aLHmX-Inn,0.05144706
aLHmX-Inn,0.030006221
aLHmX-Inn,0.095887748
aLHmX-Inn,0.127963549
aLHmX-Inn,0.136192115
aLHmX-Inn,0.175963908
aLHmX-Inn,0.069513919
aLHmX-Inn,0.073143116
aLHmX-Inn,0.033690639
aLHmX-Inn,0.138684751
aLHmX-Inn,0.033593421
aLHmX-Inn,0.046793853
aLHmX-Inn,0.086279229
aLHmX-Inn,0.137368838
aLHmX-Inn,0.105174797
aLHmX-Inn,0.106469745
aLHmX-Inn,0.094337552
aLHmX-Inn,0.111275876
aLHmX-Inn,0.175725393
aLHmX-Inn,0.188932563
aLHmX-Inn,0.066602186
aLHmX-Inn,0.023608812
aLHmX-Inn,0.023781369
aLHmX-Inn,0.00671478
aLHmX-Inn,0.069769543
aLHmX-Inn,0.119793411
aLHmX-Inn,0.121978754
aLHmX-Inn,0.111574493
aLHmX-Inn,0.068124091
aLHmX-Inn,0.096801576
aLHmX-Inn,0.182239218
aLHmX-Inn,0.130292935
aLHmX-Inn,0.080533885
aLHmX-Inn,0.077278398
aLHmX-Inn,0.120726076
aLHmX-Inn,0.051243669
aLHmX-Inn,0.09163711
aLHmX-Inn,0.062566472
aLHmX-Inn,0.067856169
aLHmX-Inn,0.136575553
aLHmX-Inn,0.131471702
aLHmX-Inn,0.023002743
aLHmX-Inn,0.115604972
aLHmX-Inn,0.168749222
aLHmX-Inn,0.02478728
aLHmX-Inn,0.015458823
aLHmX-Inn,0.171971085
aLHmX-Inn,0.103173125
aLHmX-Inn,0.09756223
aLHmX-Inn,0.068032699
aLHmX-Inn,0.077303704
aLHmX-Inn,0.17714085
aLHmX-Inn,0.053146792
aLHmX-Inn,0.133849929
aLHmX-Inn,0.000828533
aLHmX-Inn,0.017533473
aLHmX-Inn,0.082552407
aLHmX-Inn,0.115290589
aLHmX-Inn,0.092610151
aLHmX-Inn,-0.005811259
aLHmX-Inn,0.055573671
aLHmX-Inn,0.108071543
