population,treatment,vial,female,age,dead
mDahomey,awt,5,2,15,1
mDahomey,awt,5,3,22,0
mDahomey,awt,5,4,33,1
mDahomey,awt,5,5,35,0
mDahomey,awt,6,1,1,1
mDahomey,awt,6,2,2,1
mDahomey,awt,6,3,2,1
mDahomey,awt,6,4,5,0
mDahomey,awt,6,5,15,1
mDahomey,awt,7,1,3,1
mDahomey,awt,7,2,12,0
mDahomey,awt,7,3,29,1
mDahomey,awt,7,4,35,1
mDahomey,awt,7,5,35,1
mDahomey,awt,8,1,1,1
mDahomey,awt,8,2,4,1
mDahomey,awt,8,3,22,1
mDahomey,awt,8,4,31,1
mDahomey,awt,8,5,33,1
mDahomey,awt,9,1,1,1
mDahomey,awt,9,2,1,1
mDahomey,awt,9,3,12,1
mDahomey,awt,9,4,19,1
mDahomey,awt,9,5,22,0
mDahomey,awt,10,1,1,1
mDahomey,awt,10,2,22,0
mDahomey,awt,10,3,23,0
mDahomey,awt,10,4,33,1
mDahomey,awt,10,5,33,1
nDah-Oy,cnovelY,1,1,26,1
nDah-Oy,cnovelY,1,2,26,1
nDah-Oy,cnovelY,1,3,28,1
nDah-Oy,cnovelY,1,4,29,1
nDah-Oy,cnovelY,1,5,33,1
nDah-Oy,cnovelY,2,1,22,0
nDah-Oy,cnovelY,2,2,35,1
nDah-Oy,cnovelY,2,3,35,1
nDah-Oy,cnovelY,2,4,35,1
nDah-Oy,cnovelY,2,5,35,1
nDah-Oy,cnovelY,3,1,1,1
nDah-Oy,cnovelY,3,2,22,0
nDah-Oy,cnovelY,3,3,25,1
nDah-Oy,cnovelY,3,4,29,1
nDah-Oy,cnovelY,3,5,33,1
nDah-Oy,cnovelY,4,1,5,0
nDah-Oy,cnovelY,4,2,5,0
nDah-Oy,cnovelY,4,3,5,0
nDah-Oy,cnovelY,4,4,24,0
