population,deltaProp_eclose
aLHmX_Inn,-0.042727273
aLHmX_Inn,-0.072333333
aLHmX_Inn,-0.007916667
aLHmX_Inn,-0.023690476
aLHmX_Inn,-0.029444444
aLHmX_Inn,-0.010833333
aLHmX_Inn,-0.00979798
aLHmX_Inn,-0.106805556
aLHmX_Inn,-0.028333333
aLHmX_Inn,-0.026666667
aLHmX_Inn,0.011833333
aLHmX_Inn,-0.076666667
aLHmX_Inn,-0.066
aLHmX_Inn,-0.039
aLHmX_Inn,-0.014659091
aLHmX_Inn,-0.029431818
aLHmX_Inn,-0.016555556
aLHmX_Inn,0.042525253
aLHmX_Inn,-0.015
aLHmX_Inn,-0.025714286
aLHmX_Inn,-0.052
aLHmX_Inn,-0.016363636
aLHmX_Inn,-0.013690476
aLHmX_Inn,-0.011
aLHmX_Inn,-0.001136364
aLHmX_Inn,-0.0625
aLHmX_Inn,-0.00925
aLHmX_Inn,0.011060606
aLHmX_Inn,-0.053777778
aLHmX_Inn,-0.038030303
aLHmX_Inn,-0.024204545
aLHmX_Inn,-0.025681818
aLHmX_Inn,-0.075
aLHmX_Inn,-0.01
aLHmX_Inn,-0.049727273
aLHmX_Inn,-0.037619048
aLHmX_Inn,-0.053333333
aLHmX_Inn,-0.057
aLHmX_Inn,-0.044886364
aLHmX_Inn,-0.011666667
aLHmX_Inn,-0.007272727
aLHmX_Inn,0.031717172
aLHmX_Inn,-0.0465
aLHmX_Inn,-0.033333333
aLHmX_Inn,-0.046893939
aLHmX_Inn,-0.043363636
aLHmX_Inn,-0.022083333
aLHmX_Inn,0.025833333
aLHmX_Inn,0.002207792
aLHmX_Inn,-0.028333333
aLHmX_Inn,-0.064
aLHmX_Inn,-0.058989899
aLHmX_Inn,-0.068522727
aLHmX_Inn,-0.023636364
aLHmX_Inn,0.009
aLHmX_Inn,0.021704545
aLHmX_Inn,-0.041111111
aLHmX_Inn,-0.042857143
aLHmX_Inn,-0.053888889
aLHmX_Inn,-0.015277778
aLHmX_Inn,-0.035666667
aLHmX_Inn,-0.011785714
aLHmX_Inn,-0.0125
aLHmX_Inn,-0.014848485
aLHmX_Inn,-0.081168831
aLHmX_Inn,0.009
aLHmX_Inn,-0.001333333
aLHmX_Inn,-0.0475
aLHmX_Inn,-0.029480519
aLHmX_Inn,-0.048181818
aLHmX_Inn,-0.051616162
aLHmX_Inn,-0.041818182
aLHmX_Inn,-0.048571429
aLHmX_Inn,-0.028
aLHmX_Inn,0.009722222
aLHmX_Inn,0.016666667
aLHmX_Inn,-0.022727273
aLHmX_Inn,-0.0445
aLHmX_Inn,-0.0655
aLHmX_Inn,-0.011547619
aLHmX_Inn,-0.033636364
aLHmX_Inn,0.019166667
aLHmX_Inn,-0.055
aLHmX_Inn,-0.02530303
aLHmX_Inn,-0.086969697
aLHmX_Inn,-0.015
